Amharic,Oromo,domain
ነገሮች እዚህ የተለያዩ ናቸው።,asirratti wantootni adda.,General
ምንም ያህል ባስብበት፣ ሊገባኝ አልቻለም።,hammam itti yaadus hubachuu hin danda'u.,General
እንደምወደው ልነግራት ወሰንኩ።,akkan isa jaalladhu itti himuuf murteesse.,Health/Medical
ፖሊሶችን አትጥራ ሰው።,poolisoota hin bilbiliin yaa dhiiroo.,General
ይህን ደብዳቤ ለመቁዋቁዋም ጊዜ የለኝም። ሊቁዋቁዋሙት ይችላሉ፧,xalayaa kana yeroon itti ilaalu hin qabu. ati isa kana dandamachuu dandeessaa?,General
ይህን ካደረክ በፍጹም ይቅር አልልህም።,yoo akkas goote yoomiyyuu dhiifama siif hin godhu.,General
ቶም እንድሄድ ነገረኝ።,toom akkan deemu cimsee natti hime.,General
ፖለቲከኛው እውነቱን ነው የሚናገረው ተብሎ ይታሰባል።,namni siyaasaa kun dhugaa dubbachaa jira jedhamee yaadamaa ture.,Government
የቡና እረፍት ጊዜው አሁን ነው።,yeroon boqonnaa bunaa amma.,Agriculture
የጡት ካንሰር ምርመራ እንዲደረግልኝ እፈልጋለሁ።,qormaata kaansarii harmaa akkan godhu nan barbaada.,Health/Medical
አስፈላጊው መሳሪያ ነው።,meeshaa barbaachisaa ta'edha.,General
ከዚያን ጊዜ ጀምሮ ብዙ ተለውጧል።,ergasii waan baay'een jijjiirameera.,General
ቶም የተናደደ ይመስላል።,toom waan hin quufne fakkaata.,General
አንድ አስደሳች ታሪክ አነበብኩ።,seenaa nama gammachiisu tokkon dubbise.,Education
በጣም ብዙ ተስፋ አስቆራጭ ነገሮች አጋጥመውኛል።,mufannaa baay'ee na mudateera.,General
የእሱ እቅድ ብዙ የሚፈለጉትን ይተዋል።,karoorri isaa waan baay'ee dhiisa.,General
ቀይ ፕላስተር ምን ይላል፧,taappeellaan diimaan maal jedha?,Health/Medical
ቶም ልምምዱን ቀጠለ።,toom shaakala gochuu itti fufe.,General
አንድ ሰው በሩን ሲዘጋ ሰማሁ።,namni tokko balbala akka rukutu dhaga'e.,General
ስለተፈጠረው ነገር በጣም አዝነናል።,waan ta'eef baayyee gaddineerra.,General
ወዲያውኑ መልስ ስላልሰጠኝ ይቅርታ እጠይቃለሁ።,achumaan deebii kennuu dhabuu kootiif dhiifama gaafadha.,Education
ይህ ለምን ያህል ጊዜ እንደሚቆይ አስባለሁ።,kun hanga yoomiitti akka turu na ajaa'iba.,General
ጽጌረዳ ግንዱ ላይ እሾህ አለው።,rooziin hundee isaa irratti qoree qaba.,General
ትኬት የት ማግኘት እችላለሁ፧,tikeetii eessaa argachuu danda'a?,General
ቶም በማርያም ጆሮ የሆነ ነገር ሹክ ብላ ነቀነቀች።,toom gurra meerii keessatti waan tokko xuxxuqee isheen immoo mataa ishee rukutte.,Religion
ዛሬ እሁድ ከሆነ አሳ ማጥመድ እሄድ ነበር።,osoo har'a wiixata ta'ee qurxummii qabuuf deema ture.,General
ከሁለቱም ቦታዎች ሄጄ አላውቅም።,bakkeewwan sana keessaa tokkollee hin deemne.,General
በመዝናኛ ፓርኩ ተዝናንተናል።,paarkii bashannanaa sanatti bashannanne.,General
እኔና ወንድሜ ጥፋተኛ ነኝ።,ani akkasumas obboleessi kootu komatama.,General
እሱዋ ይቅር እስክትል ድረስ ዝቅ ብለህ ብትተኛ የሚሻል ይመስለኛል።,hanga isheen dhiifama siif gootutti gadi jettee ciiftee siif wayya jedheen yaada.,General
መምህሩ ልጆቹ ዝም እንዲሉ ነገራቸው።,barsiisaan ijoolleen akka callisan itti hime.,General
ቶም ማርያምን ወደ ፓርቲው አልጋበዘም።,toom maariyaam gara dhaaba isaatti hin afeerre.,Government
እነዚያ የሴት አያቴ የጥርስ ጥርስ ናቸው።,isaan sun ilkaan sobaa adaadaa kooti.,General
አይኖቼ ተፈተሹ።,ija koo akkan sakatta'amu godheera.,General
ለቶም እውነቱን ልነግራቸው ነው።,dhugaa jiru toomitti himuuf deema.,General
በጭቃ ውስጥ እንደዚህ ያለ ዱላ አትሁኑ።,akkasitti ulee-dhoqqee hin ta'inaa.,General
ወደ አሸናፊነት በጣም ተቃርበናል።,injifachuuf akkasitti dhihaanne.,General
ይህ መዝገበ ቃላት ወደ 40፣000 የሚጠጉ መዝገቦች አሉት።,"galmeen jechootaa kun galmee gara 40,000 qaba.",General
ስላላደረግከው ነገር ለምን አዝናለህ፧,waan hin hojjanneef maaliif gadda?,General
ቶም የተናገረው ሁሉ እውነት ነው።,wanti toom jedhe hundi dhugaadha.,Religion
ቶም እንዴት ያለ ትልቅ ልጅ ነው!,toom mucaa guddaa akkamiidha!,General
ተፋታሁ።,hiikameera.,General
አብዮቱ ብዙ ቤተሰቦችን ከፋፈለ።,warraaqsi kun maatii hedduu addaan qoode.,General
ዛሬ ምሽት ዝናብ እንዳይዘንብ እፈራለሁ።,halkan kana roobni akka roobu sodaadha.,Agriculture
ገናን ከማን ጋር ለማሳለፍ አስበዋል፧,ayyaana qillee eenyu waliin dabarsuuf karoorfattan?,Religion
የሰጠው መልስ ምክንያታዊ ነበር።,deebiin inni kenne loojikii ture.,Education
ያንን ስም አልወደውም።,maqaa sana hin jaalladhu.,General
የበለጠ በጥንቃቄ መከታተል ነበረብኝ።,silaa caalaatti of eeggannoodhaan ilaaluu qaba ture.,General
ቤት አለህ፧,mana qabduu?,General
ከቶም ጋር ነው የምሄደው።,toomii wajjin deema.,General
ምን አይነት መርዝ ነበር፧,summii akkamii ture?,Health/Medical
ወንድም እና እህት አለኝ። ወንድሜ በቶኪዮ ይኖራል እህቴ ደግሞ በናጋኖ ትኖራለች።,"obboleessaa fi obboleettii tokkon qaba. obboleessi koo tookiyoo, obboleettiin koo immoo naagaano jiraatti.",Education
እዚህ መተኛት ከፈለጋችሁ ምንም ችግር የለውም።,jarreen asitti rafuu yoo barbaaddan rakkoo hin qabu.,General
አንዳንድ እርዳታ ሊፈልጉ እንደሚችሉ ገምቻለሁ።,gargaarsa tokko tokko si barbaachisuu danda'a jedheen yaade.,General
ቶም ከባድ ወንጀል ፈጽሙዋል።,toom yakka cimaa raawwateera.,Government
ይህን ማድረግ አልፈልግም፣ ነገር ግን ምንም ምርጫ አልተውሽኝም።,kana gochuu hin barbaadu garuu filannoo biraa naaf hin dhiiftu.,Government
የትምህርት ጊዜዬን ሳላስታውስ ይህን ፎቶ ማየት አልችልም።,suuraa kana osoon bara barnootaa koo hin yaadachiifamin ilaaluu hin danda'u.,Education
ምሳ በልተናል።,laaqana nyaanne.,General
ልጆቼ የምሄድበት ጊዜ አሁን ነው።,yeroon ani deemu amma ijoollee.,General
ለኩባንያው አብላጫ ፍላጎት አለን።,dhaabbaticha keessatti qooda harka caalu qabna.,Business/Economy
እንነሳ።,mee haa kaannu.,General
ቶም ክሩሱን ወደ ቡናው ነከረው።,toom kroosaantii isaa buna isaa keessa cuuphe.,Agriculture
ከጥሩ እቃዎች የተሰሩ የቤት እቃዎች በደንብ ይሸጣሉ።,meeshaaleen manaa meeshaalee gaarii irraa hojjetaman akka gaariitti gurgurama.,Agriculture
ያ ብዙ ስራ ነው።,sun hojii guddaadha.,General
ከዚህ በላይ ምን መጠየቅ ይችላል፧,kana caalaa namni tokko maal gaafachuu danda'a?,General
ወረቀት ከእንጨት የተሰራ ነው።,waraqaan muka irraa hojjetama.,General
ምን አይነት ስሜት አለው፧,maal itti dhagahama?,General
ትናንት መጽሀፍ ገዛሁ።,kaleessa kitaaba tokkon bitadhe.,General
ብዙ ደስታ አለን።,Gammahuu baay'ee qabna.,General
ራሴ ከፍ ከፍ እንዳለ ተሰማኝ።,akkan ol ka'e natti dhaga'ame.,General
በሳጥኑ ውስጥ ስድስት ፖም አለ።,sanduuqa keessa abaaboo ja'atu jira.,General
ከቅርብ ጊዜ ወዲህ በጥቂቱ እየተሰማው ነው።,dhiheenya kana xiqqoo qarqara irra akka jiru itti dhaga'amaa jira.,General
አጎቴ ሶስት ልጆች አሉት።,adeerri koo ijoollee sadii qaba.,General
ቶም በፍጹም አያውቀውም።,toom tasumaa na hin beeku.,General
ለምን እንዲህ አደረገች፧,maaliif akkas goote?,General
ነርቭ የነካሁ ይመስለኛል።,narvii tokko waanan tuqe natti fakkaata.,General
ጥሩ ሰው ነኝ ብለህ ታስባለህ፧,nama gaarii natti fakkaataa?,General
ከመመለሳችሁ በፊት ስራውን ጨርሻለሁ።,osoo ati hin deebi'in hojii xumuree ta'a.,General
እሱ ተንኮለኛ ነው።,inni hunk dha.,General
እዚህ መሆንህን አደንቃለሁ።,asitti argamuun kee nan dinqisiifadha.,Agriculture
ተሸንፈዋል።,isaan mo'aman.,General
ድጋሚ እንዳትደውልልኝ።,ammas naaf hin bilbilinaa.,Business/Economy
በአዲሱ ጃኬቴ ደስተኛ ነኝ።,jaakkeetii koo haaraa kanaan gammadeera.,General
እሱ አጭር ትእዛዝ ማብሰያ ነው።,inni nama nyaata bilcheessuu ajaja gabaabaa dha.,General
ይህ የእኔ መጽሀፍ ነው።,kun kitaaba kooti.,General
ውስጤ ነኝ።,ani keessa jira.,General
ተስፋ አስቆራጭ ነበር።,mufachiisaa ture.,General
ምናልባት ይህ ስህተት ነበር።,tarii kun dogoggora ta'uu danda'a.,General
እንድትገባ ከጎን ቆመ።,Akka isheen seentu cinaatti dhaabbate.,General
እዚህ መኪናዬን ማቆም እችላለሁ፧,konkolaataa koo asitti dhaabuu nan danda'aa?,General
በወንዙ ውስጥ ይዋኛል።,laga keessa dabsa.,General
ሁልጊዜ ለቁርስ ኦትሜል እበላለሁ።,yeroo hunda jechuun ni danda'ama cireedhaaf oatmeal nan nyaadha.,General
አይኖቼ ብስጭት ይሰማቸዋል።,ijji koo natti dhagahama.,General
ቶም በመጥለቅ ጥሩ ነው።,toom bishaan keessa cuuphamuu irratti ga'umsa qaba.,General
ተሞክሮው ከሌሎቹ የበለጠ ጥቅም አስገኝቶለታል።,muuxannoon sun warra kaan caalaa faayidaa isaaf kenne.,General
ቶም ዮሀንስ እንደጠራው ለማርያም መንገር ረሳው።,toom joon bilbilee akka ture maariyaamitti himuu dagate.,Religion
ሽኮኮው ለውዝ እየበላ ነው።,qilleensi muuzaa nyaachaa jirti.,General
እንዴት እንደማመሰግናችሁ አላውቅም።,akkamitti akkan isin galateeffadhu hin beeku jarana.,General
ጓደኞችህ እንድሆኑ እፈልጋለሁ።,Hiriyyaa kee akka ta'an nan barbaada.,General
እናቴ አልጋ ላይ ታማለች።,harmeen koo siree irra dhukkubsattee jirti.,Health/Medical
ያ እውነት እንዳልሆነ አውቃለሁ።,sun dhugaa akka hin taane nan beeka.,Religion
ዋናው ነገር ምንድን ነው፧,xumurri isaa maali?,General
እኔ እስከማውቀው ድረስ እሱ ጥሩ ሰው ነው።,hanga ani beekutti gurbaa gaarii dha.,General
ይህንን እንድትረዱት አልጠብቅም።,kana ni hubatta jedhee hin eegu.,General
ይህ ያልተጠበቀ አስገራሚ ነገር ነው።,kun waan nama hin eegamnedha.,General
ትምህርት ቤታችን አሁን ትምህርታዊ ነው።,manni barumsaa keenya amma barnoota waliinii ta'eera.,Education
ይህ ጨዋታ አስደሳች ነው።,taphni kun nama gammachiisa.,General
አቁዋራጭ መንገድ ወሰድኩ።,karaa gabaabaa tokkon fudhadhe.,General
እኔም ተመሳሳይ ስሜት ተሰማኝ።,anis akkasuma natti dhagaʼame.,General
አስጸያፊ ነህ!,ati jibbisiisaadha!,General
ቶም በትላንትናው እለት ስራ መልቀቁን አስታውቁዋል።,toom kaleessa aangoo gadhiisuu isaa beeksiseera.,General
አፉን መዝጋት ነበረበት።,silaa afaan isaa cufuu qaba ture.,General
ሁሉንም ነገር አደርግልሃለሁ።,waan hundumaa siif godha.,General
ቀይ ማስታወሻ ደብተር ገዛሁ።,daayaarii diimaa tokkon bitadhe.,Education
ምን አይነት ቀለም ይወዳሉ፧,halluu akkamii jaallattu?,General
ካንተ ጋር መገናኘት ትልቅ ክብር ነው።,siin wal arguun kabaja guddaadha.,Religion
ውድ የሆነ የአንገት ሀብል ለብሳለች።,mudhii qaaliin uffattee jirti.,General
ይህ ወጥመድ ይመስላል።,kun kiyyoo fakkaata.,General
ይህንን ሁሉ ገንዘብ በሶስት ወር ውስጥ አውጥቼዋለሁ።,maallaqa kana hunda ji'a sadii booda baasee ta'a.,Business/Economy
ቶም እድሜው ለማርያም አያት ሊሆን ይችላል።,toom umriin isaa akaakayyuu meerii ta'uuf ga'eera.,Religion
በአንድ ወቅት አንዲት ቆንጆ ልእልት ነበረች።,yeroo tokko giiftii duree bareedduu tokkotu turte.,General
ተዋናይ ነው።,inni taphattuudha.,General
ቁራሽ ኬክ ነው።,innis keekii ciccitaa dha.,General
እነዚህ ጫማዎች ምን ያህል መጠን አላቸው፧,kopheewwan kun safara akkamii qabu?,General
ቀናተኛ ነህ፧,xiiqii qabdaa?,General
አደጋው ከከባድ በረዶው ጋር የሚያገናኘው ነገር ይመስላል።,balaan kun qorra cimaa wajjin waan wal qabatu fakkaata ture.,Religion
ቶም የሚያስፈልገኝን አልሰጠኝም።,toom wanta na barbaachisu naaf hin kennine.,General
ቶም ይህን እንዴት ማድረግ እንዳለብኝ አላውቅም አለ።,toom akkamitti akkas akka godhu akka hin beekne dubbateera.,General
ብዙ ገንዘብ የለኝም ግን እንደምንም እስማማለሁ።,maallaqa baay'ee hin qabu garuu haala kamiinuu walii gala.,Health/Medical
ሙያዊ ልምድ አለህ፧,muuxannoo ogummaa qabduu?,General
በእሳቱ ውስጥ አንድም ሰው አልሞተም።,ibidda kanaan namni du'e hin jiru.,General
ሌላ መንገድ መኖር አለበት።,karaan biraa jiraachuu qaba.,General
ይህ ፍጹም ድንቅ ነው።,kun guutummaatti ajaa'iba.,General
እንደ ቀልድ ተናግሯል።,akka qoosaatti jedhe.,General
የሚያስፈልገው ያ ብቻ ነው።,kana qofa barbaachisa.,General
ካሜራዬን ወደ እሱዋ ጠቆምኳት።,kaameeraa koo isheetti akeeke.,General
ቶም ትክክለኛ ስሙ አይደለም።,toom maqaa isaa isa dhugaa miti.,General
የአውሮፓ ህብረት የሞት ቅጣትን አስቀርቱዋል።,gamtaan awurooppaa adabbii du'aa dhabamsiiseera.,Government
ቦስተን የት አለ፧,booston eessa jira?,General
ብዙ ጊዜ አይከሰትም።,yeroo baayyee hin ta'u.,General
ይህንን ብእር መጠቀም ይችላሉ።,qalama kana fayyadamuu dandeessu.,General
መዝገበ ቃሉዋን መልሼ ሰጠኹዋት።,galmee jechootaa ishee deebisee kenneef.,General
ቂጣውን ሁሉ በልተዋል።,keekii hunda nyaatan.,General
በዚህ መንገድ መታከም አልወድም።,akkasitti ilaalamuu natti hin tolu.,General
ወደ ውይይት ገቡ።,marii keessa seenan.,General
እዚህ ማንም ሰው እውነቱን እንደማይነግረን ይሰማኛል።,asitti namni dhugaa nutti himu akka hin jirre miira natti dhagahama.,General
የመጨረሻ እድል ሰጡን።,carraa dhumaa tokko nuuf kennaniiru.,General
ዙሪያዋን ተመለከተች።,isheenis naannoo hunda ilaalte.,General
መቼም በጊዜ አንደርስም።,yoomiyyuu yeroon achi hin geenyu.,General
ተማሪዎች ቤተ መጻህፍቱን ማግኘት ይችላሉ።,barattoonni mana kitaabaa kana argachuu danda'u.,Education
ለምን እስከ አሁን ይጠብቁ፧,maaliif hanga ammaatti eeguu?,General
ገና ለገና ስጦታ አልገዛሁህም።,hanga ammaatti kennaa ayyaana masqalaa siif hin bitne.,Religion
ጋዙን እንዳጠፋሁ እርግጠኛ ነኝ።,gaazii akkan dhaamse mirkanaa'adha.,General
ማንኛውንም ነገር መምከር ይችላሉ፧,waan tokko gorsuu dandeessaa?,General
ለወላጆቼ ብዙ እዳ አለብኝ።,warra koo irraa liqii guddaa qaba.,Business/Economy
በጉድጓዱ ውስጥ ምንም ውሃ አልነበረም።,boolla bishaanii keessa bishaan hin turre.,General
እነግርሃለሁ።,siin jedha.,General
ቶም የቀድሞ አሰሪውን በአንድ ኮንፈረንስ አይቱዋል።,toom konfiraansii tokko irratti hojjechiisaa isaa duraanii arge.,General
ወደ ስብሰባው ላለመሄድ አላሰብኩም ነበር።,walgahii sana dhaquu dhiisuuf hin yaadne ture.,Government
ማንንም አላገኘሁም።,nama tokkoon wal hin argine.,General
ቶም ሙዚቃ እያዳመጠ መጽሀፍ እያነበበ ነበር።,toom muuziqaa dhaggeeffachaa osoo jiruu kitaaba dubbisaa ture.,Education
ሁላችንም እዚያ እንሆናለን።,hundi keenya achitti argamna.,General
እኔ ለአንተ ፍጹም ነኝ።,ani siif mudaa hin qabnedha.,General
የተራራው ጫፍ ደረስን።,fiixee gaara sanaa geenyee.,General
አሁን በቦስተን ምን ያህል ቀዝቃዛ ነው፧,yeroo ammaa kana boston keessatti qorri hangam jira?,General
ቶም ምሽት ላይ ቴሌቪዥን ማየት ይወዳል።,toom galgala tv ilaaluu ni jaallata.,General
ይህች ድመት የኛ አይደለችም።,sareen kun kan keenya miti.,General
አየሩ ዝናባማ ሆኖ ቀረ።,haalli qilleensaa rooba ta'ee hafe.,General
ሁለታችሁም በአለም ውስጥ ደስታን እመኛለሁ።,lamaan keessan iyyuu gammachuu addunyaa kanarra akka jiraatan hawwa.,General
ያንን ማድረግ እንደምችል አረጋግጣለሁ።,sana gochuu akkan danda'u isiniif mirkaneessa.,Health/Medical
በሌሊት ከባድ ዝናብ መዝነብ አለበት።,halkan roobni cimaan roobe ta'uu qaba.,Agriculture
ቦርሳዬን ልያዝ።,mee boorsaa koo haa qabadhu.,General
በመታጠቢያው ውስጥ ያለው ነገር ሁሉ ከጣሪያው በስተቀር የታሸገ ነው።,wanti mana fincaanii keessa jiru hundinuu sillaasee irraa kan hafe tilmaamaan kan hojjetamedha.,General
ኮፍያውን ከየት አመጣኸው፧,kophee eessaa argatte?,General
ከምግብዎ ጋር ምን መጠጣት ይፈልጋሉ፧,nyaata keessan waliin maal dhuguu barbaadda?,General
ተከራይ ነህ ወይስ የቤት ባለቤት፧,kireeffataa moo abbaa manaa?,Business/Economy
ቡና ቤት ለስብሰባ ተሰበሰቡ።,walgahiidhaaf mana bunaa sanatti walitti qabaman.,Government
የደም ግፊት እንደ ጤና ባሮሜትር አስፈላጊ ነው።,dhiibbaan dhiigaa akka baroomeetira fayyaatti barbaachisaa dha.,Health/Medical
በአውስትራሊያ ውስጥ ጓደኞች አሉኝ።,awustiraaliyaa keessatti hiriyyoota koo qaba.,General
"ነገ ሊዋኝ ነው፧ ""አዎ እሱ ነው።""","boru dambali'uuf deemaa? ""eeyyee, ni jira.""",General
ጸጉሬ በጣም ረጅም ነው።,rifeensi koo baay'ee dheeraa dha.,General
ይህ እንዴት እውን ሊሆን ይችላል፧,kun dhugaa taʼuu kan dandaʼu akkamitti?,General
ጡብ የት መግዛት እችላለሁ፧,cilee eessaa bitachuu danda'a?,General
ስራውን ማቆም ለእርስዎ አስፈላጊ አይደለም።,hojii sana dhiisuun siif hin barbaachisu.,General
ጸጉሬ ቅባት ነው።,rifeensi koo cooma qaba.,Health/Medical
እባክዎን ቼኩን ማግኘት እችላለሁ፧,cheekii sana qabaachuu nan danda'aa maaloo?,General
ይህን ብርቱካንማ ማግኘት እችላለሁ፧,burtukaana kana qabaachuu nan danda'aa?,Agriculture
በመጨረሻ መረጃውን አግኝተናል።,dhumarratti odeeffannoo arganne.,General
ስለራሱዋ ማውራት ትወድ ነበር።,waa'ee ofii ishee dubbachuu ni jaallatti turte.,General
ለምን አልጀመርንም፧,maaliif hin jalqabne?,General
ይህንን ተግባር እንደገና ማከናወን አለበት።,hojii kana ammas hojjechuu qaba.,Religion
መቀጠል ትችላለህ፧,itti fufuu dandeessaa?,General
እኔን ማረም አቁም።,na sirreessuu dhiisaa.,General
አመዱን ከእሳት ምድጃ ውስጥ አጽዳ።,asheeta iddoo ibiddaa keessaa qulqulleessi.,General
እዚህ የሚያስፈልገኝ ነገር ሁሉ አለኝ።,waan na barbaachisu hunda asitti qaba.,General
ልጇ ከአውሮፕላኑ አደጋ መትረፉን ስትሰማ በደስታ አለቀሰች።,ilmi ishee balaa xiyyaaraa kanarraa akka hafe yommuu dhageesse gammachuudhaan boosse.,General
ይህ የሞኝ ስራ ነው።,kun ergama gowwaa ti.,General
እዚህ ለአንድ ሰአት ያህል ቆይቻለሁ።,sa'aatii tokkoof as dhufeera.,General
ጀርባዬ አሁንም ያማል።,dugda koo ammallee na dhukkubsa.,General
የአውቶብስ ሹፌር ሆኜ ነው የምሰራው።,ani konkolaachisaa otobusii ta'ee hojjedha.,General
ከበስተጀርባ መስራት እመርጣለሁ።,ani duubaan hojjechuu nan filadha.,General
ቶም ዛሬ ማታ የጻፈውን አዲስ ዘፈን እንደሚዘምር ቃል ገባልኝ።,toom galgala kana sirba haaraa barreesse sana akka sirbu waadaa naaf gale.,General
አጭር ንግግር አደረግሁ።,haasaa gabaabaa godheera.,General
አንድ ተጠርጣሪ በቁጥጥር ስር ውለናል።,shakkamaa tokko to'annaa jala oolchineerra.,Agriculture
ቶም መስኮቱን ተንከባለለ።,toom foddaa sana gadi garagalche.,General
ይህን ያመጣው ቶም ነበር፧,toom isa kana fide turee?,General
ቶም አያስፈልገውም።,toomiin isa hin barbaachisu.,General
መጥፎ ጠረን እያልክ ነው፧,urgaa hamaa natti dhagahama jechaa jirtaa?,General
ስሙን የረሳሁት የአጎቱ ልጅ ነርስ ነበረች።,ilmi obboleessa isaa kan maqaan isaa dagadhu narsii ture.,Health/Medical
ቶም ሶስት በርጩማዎች ራቅ ብሎ ባር ላይ ተቀምጦ ቢራ እየጠጣ ነበር።,toom mana dhugaatii saanii sadii fagaatu taa'ee biiraa dhugaa ture.,General
ቶም ሀብታም አልተወለደም።,toom dureessa ta'ee hin dhalanne.,Health/Medical
የጃፓን የወደፊት እጣ ፈንታ መጥፎ ይመስላል።,abdiin egeree jaappaan gaddisiisaa fakkaata.,General
ስለ አየር ሁኔታ ቅሬታዎን ያቁሙ።,waa'ee haala qilleensaa komachuu dhiisaa.,General
ያ ብዙ ጊዜ ይከሰታል።,sun baay'ee ta'a.,General
ኩባንያችን እንደ እርስዎ ያሉ ሰዎችን ይፈልጋል።,dhaabbanni keenya namoota akka keessanii barbaada.,Business/Economy
የጀግንነት ምት ነበር።,innis dhiibbaa geenii ture.,General
የዚህ መስመር መጨረሻ የት ነው፧,xumurri sarara kanaa eessa jira?,General
ከዚህ በላይ የምነግርህ ነገር የለም።,kana caalaa wanti ani sitti himuu danda'u hin jiru.,General
ሁልጊዜ እንቅልፍ ይሰማኛል።,yeroo hunda hirribni natti dhagahama.,General
አሮጊት ሴት ነሽ።,ati jaartii hamaa dha.,General
ቶምን እንደገና ማየት አልፈልግም።,toom deebi'ee arguu hin barbaadu.,Religion
ቃላቶች እውነተኛ ስሜቴን ሊያስተላልፉ አይችሉም።,jechoonni miira koo isa dhugaa dabarsuu hin danda'an.,General
ይህ ቦታ ስንት አመት ነው፧,bakki kun umriin isaa meeqa?,General
በተረት እና በተረት መካከል ያለው ልዩነት ምንድን ነው፧,garaagarummaan oduu durii fi oduu durii maali?,General
በጣም ቀደም ብለው ደርሰዋል።,daftee dhufteetta.,Health/Medical
ነገ ልሞት እችላለሁ።,Boru du'uu nan danda'a.,Religion
ከኩባንያው ቴክኒካል መረጃ ለማግኘት መጀመሪያ ይፋ ያልሆነውን ስምምነት መፈረም አለብን።,odeeffannoo teeknikaa dhaabbata sana irraa argachuuf jalqaba waliigaltee ibsa hin kennine mallatteessuu qabna.,Business/Economy
ቶም እንደሚያሸንፍ እናውቅ ነበር።,toom akka injifatu ni beekna turre.,General
ሴቶችን አልፈራም።,dubartoota hin sodaadhu.,General
ስፈልግህ አሳውቅሃለሁ።,yeroon si barbaadu sitti hima.,General
ማንም አልተጎዳም።,namni miidhame hin jiru.,General
በአጭሩ ተጨዋወትን።,yeroo gabaabaaf waliin haasofne.,General
ለመክፈል ፈቃደኛ አልሆነም።,kaffaltii dide.,General
መኸር መጣ እና ቅጠሎቹ መውደቅ ጀመሩ።,birraan dhufee baalli isaa kufuu jalqabe.,Agriculture
የዋህ ነበርኩ።,Ani Tasgabbaa'aa ture.,General
ከማጨስ መቆጠብ አለብዎት።,tamboo xuuxuu irraa of qusachuu qabda.,General
የመጻህፍት መደርደሪያ ለመስራት እንጨት እየገዛ ነው።,akka kaazinaa kitaabaa tolchuuf muka tokko tokko bitaa jira.,General
ይህ መጽሀፍ ለእርስዎ ነው።,kitaabni kun isiniif.,General
ባዶ እግሬ ነበርኩ።,miila qullaa ture.,General
ቤት እንድትሰማኝ ፈልጌ ነበር።,akka mana keessanitti akka isinitti dhagahamu barbaadeen ture.,General
በጣም ጥሩ ስራ ሰርተሃል።,hojii guddaa hojjetteetta.,General
የተሳሳተ ነገር እየሰራን ነው።,waan hin taane hojjechaa jirra.,General
እሱ ትንሽ እንደ አባቱ ነው።,xiqqoo abbaa isaa fakkaata.,Religion
ከቤቴ ፊት ለፊት መኪና ተነሳ።,konkolaataan tokko mana koo fuulduratti ka'e.,General
እኔ ካንተ በላይ ጥፋተኛ አይደለሁም።,ani si caalaa hin komatamu.,General
በምልክት ቁዋንቁዋ ተነጋገርን።,afaan mallattootiin haasofne.,Health/Medical
እውነት ነው አይደል፧,dhugaadha mitii?,Religion
በየቀኑ ወደዚህ እመጣለሁ።,guyyaa guyyaan as nan dhufa.,General
ህይወቴን ወድጄዋለሁ።,jireenyi koo natti tola.,General
ሁሉም ነገር በጣም ጥሩ ነበር።,wanti hundi baayyee gaarii ture.,General
ምክሬን ምንም ትኩረት አልሰጠም።,gorsa kootiif xiyyeeffannaa hin kennine.,General
የመውጣት ጊዜ በቅርቡ ይሆናል።,yeroo dhiyootti yeroon itti deemnu ni ga'a.,General
ስኳር ለጤንነትዎ ጥሩ አይደለም።,sukkaarri fayyaa keessaniif gaarii miti.,General
ህይወት እንዴት እንግዳ ነው!,jireenyi akkam ajaa'iba!,Religion
እሱን እንዲረዳኝ ባንክ እያደረግሁ ነበር።,na gargaaruuf isa irratti baankii godheen ture.,Business/Economy
ወንድሜ የኮሌጅ ተማሪ ነው።,obboleessi koo barataa kolleejjii ti.,Education
ይህ ሁሉ ያንተ ጥፋት ነው።,kun hundi badii keeti.,General
በጥንቃቄ ይክፈቱ።,of eeggannoodhaan banaa.,General
በየቀኑ እግር ኳስ ትጫወታለህ፧,guyyaa guyyaan kubbaa miilaa ni taphattaa?,General
ችግሩን በአስር ደቂቃ ውስጥ መፍታት ችላለች።,rakkoo kana daqiiqaa kudhan keessatti hiikuu dandeesse.,General
ቮድካን መጠጣት አይሰማኝም።,vodkaa dhuguun natti hin dhagahamu.,General
ቶም በፍጥነት ተኝቶ ነበር።,toom hirriba cimaa rafee ture.,General
"አባቴ አይጠጣም። ""አባቴም አይደለም።""","abbaan koo hin dhugu. ""abbaan koos akkasuma.""",Religion
ምንም እንኳን ቸኮሌት ቫኒላ እንደሆነ ሰዎችን ለማሳመን የቱንም ያህል ብትሞክር፣ ምንም እንኳን ቫኒላ እንደሆነ እራስህን እና ሌሎችን ለማሳመን ብትችልም አሁንም ቸኮሌት ይሆናል።,"chokolaataan vaaniila akka ta'e namoota amansiisuuf hammam yoo yaaltus, ofii keetii fi namoota muraasa vaaniila ta'uu isaa amansiisuu dandeessa ta'us, ammallee chokoleetii ta'a.",Agriculture
ስህተት እንደነበረች ታየኝ።,dogoggora akka turte natti mul'ata.,General
እባክዎን መርሃ ግብሩን አስቀድመው ያሳውቁኝ።,sagantaa isaa dursitanii naaf himaa.,General
ወደ የገበያ አዳራሽ መሄድ እፈልጋለሁ።,gara suuqii daldalaa deemuun barbaada.,Business/Economy
