Amharic,Oromo,domain
በእውነት ጥሩ ስሜት አይሰማኝም።,dhuguma miira gaariin natti hin dhagahamu.,Religion
እባክዎ ወደ ቤትዎ ሲመለሱ ደብዳቤውን በፖስታ መላክዎን ያስታውሱ።,maaloo xalayaa sana yeroo gara manaatti deebi'an poostaadhaan erguu hin dagatinaa.,Religion
ምን ለማለት እንደፈለጉ አልገባኝም።,waan jechuuf yaaltan naaf hin galle.,General
ቶምን እንደገና መዋሸት አልችልም።,ammas toomiin sobuu hin danda'u.,Religion
በምላሹ ምን ይፈልጋሉ፧,deebiin maal barbaadda?,General
እርዱኝ።,na gargaaraa.,General
ቶም ለማርያም አስተያየት ትኩረት አልሰጠም።,toom yaada meerii kanaaf xiyyeeffannaa hin kennine.,Religion
ይህ በእውነቱ እየሆነ ነው ብዬ አላምንም።,kun qabatamaan ta'aa jira jedhee amanuu hin danda'u.,Agriculture
እስካሁን ልነግርህ አልችልም።,ammallee sitti himuu hin danda'u.,General
አባቴን በጭራሽ አላውቀውም።,abbaa koo dhugumaan beekee hin beeku.,Religion
ማንም አይመለከተኝም።,namni na ilaalu hin jiru.,General
ከቀን ወደ ቀን ይበልጥ ቆንጆ ትሆናለች።,guyyaa guyyaan bareedduu taati.,General
በአስተማማኝ ጎን ለመሆን ለምን ዣንጥላ ይዘው አይሄዱም፧,gama nagaa ta'uuf qofa maaliif gaaddisa of biraa hin fudhattu?,General
ብዙ ኢንቨስት እያደረጉ ነው።,invastimantii guddaa gochaa jiru.,General
ሴንትራል ፓርክ የምሰራበት አካባቢ ነው።,central park bakka ani hojjedhutti dhihoo dha.,General
ላደንቃችሁ ፈልጌ አይደለም።,si ajaa'ibsiisuu hin barbaanne.,Agriculture
ይህ በሚሆንበት ጊዜ ቶምን የሚንከባከበው ማነው፧,yeroo kun taʼu eenyutu toom kunuunsaa ture?,General
ስትችል ደውልልኝ።,yeroo dandeessan naaf bilbilaa.,Business/Economy
ዛሬ ከሰአት በኹዋላ እንደገና ያየኛል።,har'a waaree booda ammas na ilaala.,Religion
መኪና ይነዳል።,konkolaataa fe'umsaa oofa.,General
ለየትኞቹ ምግቦች አለርጂ ነው፧,nyaata akkamii irratti alarjii qabda?,General
እሱዋ የምትረዳው አይመስለኝም።,isheen waan hubattu natti hin fakkaatu.,General
ትንሽ ተጨማሪ ጊዜ የሚያስፈልገኝ ይመስለኛል።,yeroo xiqqoo dabalataa na barbaachisa jedheen yaada.,General
በጣም ነው የማስበው።,baay'een siif dhimmama.,General
በመከር ወቅት፣ ጨረቃ በእውነት ቆንጆ ነች።,yeroo birraa ji'i dhuguma bareedaadha.,Religion
ሶስት ሰዎች ቀላል ጉዳት ደርሶባቸዋል።,namoonni sadii haala salphaan miidhamaniiru.,General
ብድር ያስፈልገኛል ብለው የሚያስቡት ምንድን ነው፧,maaltu liqii akkan barbaadu sitti fakkaata?,Business/Economy
ተከተሉት።,isa hordofaa.,General
የቅርብ ጓደኛውን ሚስት ይዞ ሮጠ እና ከዚያን ጊዜ ጀምሮ አልተሰማም።,haadha warraa hiriyyaa isaa isa guddaa waliin baqatee ergasii dhaga'amuu hin dandeenye.,General
ይህን እስክሪብቶ መዋስ እችላለሁ፧,qalama kana liqeessuu danda'aa?,Education
ባቡሬ እንዳያመልጠኝ ወደ ጣቢያው ሮጥኩ።,baabura koo akkan hin darbineef gara buufataatti fiige.,General
እዚህ ብዙ ትመጣለህ፧,baay'ee as dhuftaa?,General
ሶስት ደቂቃ ብቻ ነው ያለን።,daqiiqaa sadii qofa qabna.,General
ተጨማሪ ኬክ ይፈልጋሉ፧,keekii dabalataa ni barbaaddaa?,General
ሽንፈት እንደሆንክ ለራስህ መቀበል ከባድ ነው።,kufaatii ta'uu kee ofitti amanuun nama rakkisa.,General
ቶምን ለማየት የመጨረሻው ሰው ነዎት።,ati nama dhumaa toom arge turte.,General
ቶም ወደ ሃርቫርድ መሄድ ፈጽሞ አልፈለገም።,toom dhuguma gara harvard deemuu hin barbaanne.,General
ወጣት ሳለሁ አባቴ ስለ ወርቃማው ድንኳን ብዙ ጊዜ ያጫውተኝ ነበር።,yeroon xiqqaa turetti abbaan koo yeroo baayʼee waaʼee paaviliyoon warqee natti haasaʼa ture.,Religion
አርፍጄ ነበር።,harkifadheen ture.,General
ዘር እየዘራን ነው።,sanyii dhaabaa jirra.,General
ስለ ቶም እንደምታስብ አውቃለሁ።,waa'ee toomiif akka dhimmamtu nan beeka.,Health/Medical
አንድ ዶላር እፈልጋለሁ።,doolaara tokkon barbaada.,Business/Economy
ይህ ጥያቄዬን አይመልስልኝም።,kun gaaffii kootiif deebii hin kennu.,Education
ቶም በእኛ ባንድ ውስጥ ቤዝ ጊታር ይጫወታሉ።,toom baandii keenya keessatti gitaara baasii taphata.,General
እዚህ ምን እየሰራ ነው፧,as ala maal hojjechaa jira?,General
ለማንም እንዳትናገር ነግሬሃለሁ።,ani akkas namatti hin himne siin jedhe.,General
ቶም ቢራ አይጠጣም።,toom biiraa hin dhugu.,General
ቶም ብዙ ሰዎችን አነጋግሯል።,toom namoota baayʼee wajjin haasaʼeera.,General
ስለ እሱ በጣም እርግጠኛ አልነበርኩም።,waa'ee kanaa baay'ee mirkanaa'aa hin turre.,General
ነገ ጠዋት ሊረዱን ነው፧,boru ganama nu gargaaruuf jirtuu?,General
እኔ እንዳንተ ሀብታም አይደለሁም።,ani akka kee sooressa miti.,General
በአንድ ደቂቃ ውስጥ ብቻ ከእናንተ ጋር እሆናለሁ።,daqiiqaa tokko qofa booda si waliin ta'a.,General
ለቶም ፓርቲ አዘጋጅቼ ነበር።,toomiif affeerraa qopheesseen ture.,Government
መብላት አልችልም።,nyaachuu hin danda'u.,General
ከቶም ጋር መሆን እፈልጋለሁ።,toomii wajjin taʼuu nan barbaada.,General
የዱር አበባዎችን እወዳለሁ።,daraaraa bosona natti tola.,General
ያ የእድል ምት ነበር።,sun carraa stroke ture.,General
እያወራሁ ነው የተቆረጥኩት።,osoon dubbadhu addaan cite.,General
ፈጣን ጥያቄ መጠየቅ እችላለሁ፧,gaaffii ariifataa gaafachuu nan danda'aa?,Education
ገንዘብ ሁሉም ነገር አይደለም።,maallaqni waan hunda miti.,Business/Economy
ከኛ ጋር ብትመጣ ይሻልህ ይሆናል።,tarii nu waliin dhufuun gaarii ta'a.,General
አደጋውን በትክክል አይተናል።,dhugumatti balaa kana argineerra.,General
የምር አይመስለኝም።,dhuguma akkas natti hin fakkaatu.,General
በዚህ ላይ ሊረዱኝ ይችላሉ፧,isa kana irratti na gargaaruu dandeessu?,General
ቶም አልጋው ላይ ተኝቶ ቴሌቪዥን እያየ ነበር።,toom siree irra ciisee tv ilaalaa ture.,Health/Medical
ይህ ልብ ወለድ ሶስት ክፍሎችን ያቀፈ ነው።,asoosamni kun kutaa sadii of keessaa qaba.,Business/Economy
ወደ ቤት ሲመጣ ስለ ጉዳዩ ይነግሩታል፧,yeroo inni gara manaatti deebi'u waa'ee kanaa itti himtaa?,General
በመስኮቴ ውጭ ወፎች ሲዘፍኑ እሰማ ነበር።,foddaa kootiin alatti simbirroonni sirban nan dhagaʼa ture.,General
ቶም በሳምንት አምስት ቀናት ወደ ትምህርት ቤት ይሄዳል።,toom torbanitti guyyaa shan mana barumsaa deema.,Education
የቢሮው እጽዋት የሞቱበት ዶክተር ጋር በጭራሽ አይሂዱ።,doktara biqiltoonni waajjira isaa du'an bira gonkumaa hin deeminaa.,Government
ትንሽ ቅር ተሰኝቼ ነበር።,xiqqoo mufadheen ture.,General
ስለ ምግቡ አማረረችው።,nyaata sanas itti himatte.,General
ቶም አመሰግናለሁ ለማለት ረስቶታል።,toom galatoomi jechuu dagate.,General
አብረን እራት እንበላ።,irbaata waliin haa nyaannu.,General
የእሱ ሞት በከፊል የእኔ ጥፋት ነበር።,duuti isaas gartokkoon badii koo ture.,Religion
በእውነቱ ጓደኞች ናቸው፧,dhuguma michootadhaa?,General
እነዚህ ብርጭቆዎች ምን ያህል ወጪ ነበራቸው፧,koochoowwan kun gatii meeqa kaffalan?,Business/Economy
ያ ዝቅተኛው ባዶ ነው።,sun waan xiqqaadha.,General
መልካም የገና በአል እንዲሆንላችሁ እመኛለሁ።,baga ayyaana masqalaa gaarii isiniif hawwa.,Religion
ለመጠጣት በጣም ትንሽ ነዎት።,ati dhuguuf baay'ee xiqqaadha.,General
"ጉሮሮዎ ይጎዳል፧ ""አዎ በትንሹ።""","qoonqoon kee si dhukkubaa? ""eeyyee, xiqqoo.""",General
በዚህ ሆስፒታል ውስጥ ያለ ዶክተር እንጂ ታካሚ አይደለም።,inni dhukkubsataa osoo hin taane doktora hospitaala kana keessatti.,Health/Medical
እነዚህን እራሳችን አደረግናቸው።,kanneen ofumaa hojjenne.,General
አሁንም በድንጋጤ ውስጥ ነን።,ammallee rifachuu keessa jirra.,General
ቶም ጥሩ መስሎ ነበር።,toom waan gaarii fakkaata ture.,General
ቶም ለመዝለል ተዘጋጅቱዋል።,toom utaaluuf qophaa'ee ture.,General
ይህ ኢንሳይክሎፔዲያ ነገሮችን ለመመልከት ምቹ ነው።,insaayikilooppiidiyaan kun wantoota ilaaluuf mijataa dha.,General
እዚህ ማድረግ አይችሉም።,asitti akkas gochuu hin dandeessu.,General
እስካሁን ያለኝ አንድ ብቻ ነው።,hanga ammaatti tokko qofa qaba.,General
ድመቴ ይህን አይጥ ገደለው።,saree koo hantuuta kana ajjeeste.,General
ፖለቲከኞችን አላምንም።,namoota siyaasaa hin amanu.,Agriculture
ወላጆቼ የሴት ጓደኛዬን አይወዱም። እሱዋ ለእኔ አልበቃችም ብለው ያስባሉ።,warri koo jaalallee koo hin jaallatan. isheen naaf hin ga'u jedhanii yaadu.,General
ቁርስዎን አልፈዋል፧,ciree keessan xumurtaniittuu?,General
ቶም በደሴት ላይ ብቻውን ይኖራል።,toom kophaa isaa odola tokkorra jiraata.,Education
አባቴ ያንን ቀይ ቀሚስ ሰጠኝ።,abbaan waaqa koo shamizii diimaa sana naaf kenne.,Religion
ክፈተው።,hiikkaa.,General
"በእሱ ላይ ምንም ቆሻሻ አገኘህ፧ ""አይ እሱ እንደ ፊሽካ ንጹህ ነው።""","xurii isa irratti argatte? ""lakki akka fiigichaatti qulqulluudha.""",General
ቶም ሰነፍ ነው፧,toom dadhaboodhaa?,General
እባኮትን ይህን ትንሽ ስጦታ ተቀበሉ።,mee kennaa xiqqoo kana fudhadhaa.,General
ፖሊሱ ዘራፊውን አሳደደው።,poolisichi saamtuu sana ari'e.,General
ቶም እንዲሄድ አልተፈቀደለትም።,toom akka deemu hin hayyamamneef.,General
ዝናብ ቢዘንብም እሄዳለሁ።,yoo roobni roobellee nan deema.,Agriculture
ውሻ ነበረኝ።,duraan saree qaba ture.,General
የመስራት ፍላጎት የለኝም።,hojii hojjechuun natti hin dhagahamu.,General
የማይቀር ነው።,waan hin oolledha.,General
የሩሲያ ሩሌት መጫወት በጣም ጥሩ ሀሳብ አይደለም።,ruuleetii raashiyaa taphachuun dhuguma yaada gaarii miti.,General
እንደ ልጅ እወድሃለሁ።,akka ilmaatti si jaalladha.,General
መፍጠን አላስፈለገዎትም።,ariifachuun si hin barbaachisu ture.,General
መስመር ይያዙ።,sarara qabadhu.,General
አዎ እንደምል እንዴት አወቅክ፧,eeyyee jechuu akkan jiru akkamitti beekte?,Health/Medical
ቶም ስለ ውጤቶቹ አልተጨነቀም።,toom qabxii isaaf hin yaaddofne.,General
እዚህ ጥሩ ጊዜ አሳልፌያለሁ።,asitti yeroo gaarii dabarseera.,Health/Medical
ይህ ድመት የቶም ነው።,sareen kun kan toomii ti.,General
ቀኑን ሙሉ አልጋ ላይ ተኛሁ።,guyyaa guutuu siree irra bule.,Health/Medical
ቀዝቃዛው አየር ፊቴ ላይ ድንቅ ሆኖ ተሰማኝ።,qilleensi qabbanaa'aan sun fuula koo irratti ajaa'iba natti dhaga'ame.,General
ይህን እንዳላደርግ ተነግሮኛል።,kana akkan hin goone natti himameera.,General
ቶም አዎንታዊ ነው።,toom waan gaarii qaba.,General
ኤሌክትሮኖች አሉታዊ የኤሌክትሪክ ሃይል አላቸው።,elektiroononni chaarjii elektirikii negaatiivii qabu.,General
ቶም በደንብ እንዳደረገው አውቃለሁ።,toom akka gaariitti akkas akka godhe nan beeka.,Agriculture
ለዚህ ነው የዘገየሁት።,kanaafi kanan harkifadhe.,General
ካልተጠየቀ አይናገርም።,yoo gaafatame malee hin dubbatu.,General
ለምን ይህን ትለኛለህ፧,maaliif akkas naan jetta?,General
ላንቺ አስገራሚ ነገር አለኝ።,taajjabbii isiniif qaba.,General
አስዛኝ!,maal nama gaddisiisa!,General
ፊሽካህን የሚያርስበት ነገር ላገኝልህ እችላለሁ፧,waan fiigicha kee jiisisu siif fiduu danda'aa?,Religion
በልጄ እኮራለሁ።,ilma kootti nan boona.,General
አንድ ሰው በመኪና ሲገጭ አየሁ።,namni tokko konkolaataan rukutamee arge.,General
የምንበላው ለመኖር ነው እንጂ ለመብላት አንኖርም።,jiraachuuf nyaanna malee nyaachuuf hin jiraannu.,General
ቶም ማርያምን ጠበቀችው።,toom meerii eegeera.,Religion
ካልፈለግክ እበላዋለሁ።,yoo hin barbaanne nan nyaadha.,General
እቆያለሁ።,ani hafee jira.,General
ማድረግ ያለብኝ ጥቂት የቤት ውስጥ ስራዎች አሉኝ።,hojii mana keessaa muraasa kan ani hojjechuu qabu qaba.,General
ልክ እንደ እህቴ ትመስላለህ።,ati akkuma obboleettii koo fakkaatta.,General
ከአሁን በኹዋላ የራሴን ውሳኔ አደርጋለሁ።,ammaan booda murtoo mataa kootii murteessuuf deema.,Government
ማንም ደንታ እንደሌለው አስብ ነበር።,dur namni dhimma itti bahu hin jiru jedheen yaada ture.,Agriculture
ይህችን ከተማ በጣም ወድጄዋለሁ።,magaalaa kana baay'een jaalladha.,General
አንዳንድ የቅርብ ጓደኞቸ ፖሊሶች ናቸው።,Hiriyoonni koo dhiyoon tokko tokko poolisoota dha.,General
ጃፓን ደሴት አገር ነች።,jaappaan biyya odolaati.,General
የቻልከውን ያህል ሞክር።,hamma dandeessan yaali.,General
አይቻልም።,hin danda'amu.,General
ስለሱ ማሰብ አለብዎት።,itti yaaduu qabda.,General
ሁላችሁም በጣም ጥሩ ሰዎች ናችሁ።,hundi keessan namoota baayyee namatti toludha.,General
በጣም ሳቀች አለቀሰች።,isheenis akka malee kolfitee boosse.,General
ከቶም ሰረቅኩት።,toomii irraan hatadhe.,General
ስለዚህ እቅድ እናትን አቆይ።,waa'ee karoora kanaa afaan qabadhu.,General
ሌላ ምሳሌ አሳየኝ።,fakkeenya biraa natti agarsiisi.,General
ስማቸውን ልነግርህ አልችልም።,maqaa isaanii sitti himuu hin danda'u.,General
እርዳታ እንደሚያስፈልጋቸው አምነው መቀበል የማይችሉ ሰዎችን መርዳት ከባድ ነው።,namoota gargaarsa akka isaan barbaachisu amanuu hin dandeenye gargaaruun rakkisaadha.,General
ቶም በጥሞና አዳመጠ።,toom xiyyeeffannaadhaan dhaggeeffate.,General
ንፋስ እስካልተነፍስ ድረስ ችግር የለውም።,hanga qilleensi hin buunetti ok dha.,Religion
እኔን ሳያማክሩኝ እንዴት ያንን ለማድረግ ይስማማሉ፧,osoo na hin mariisisin akkamitti akkas gochuuf walii galte?,General
ቶም ቀኑን ሙሉ ሰርቱዋል።,toom guyyaa guutuu hojjete.,General
ትንቢቱ እውን ሆነ።,raajiin sun dhugoome.,General
ብዙ ታዳሚዎች በዘፈኑ መጨረሻ ላይ አጨበጨቡ።,daawwattoonni baay'een dhuma sirbichaa irratti harka rukutan.,General
ቶም ማርያምን አንድ ኩባያ ቡና አፍስሶ የራሱን ሞላ።,toom buna meerii irratti naqee kan isaa irratti buna itti naqee.,Agriculture
ቦስተን ውስጥ ተጣብቄያለሁ።,boston keessatti qabamee jira.,General
አሁን ትንሽ ራስ ምታት አለኝ።,amma mataan na dhukkube xiqqoo.,Health/Medical
ይህንን ችግር ለመፍታት መሞከር ምንም ፋይዳ የለውም።,rakkoo kana furuuf yaaluun bu'aa hin qabu.,General
ለቀልድ ምንም ስሜት የለኝም።,qoosaadhaaf miira tokkollee keessa hin jiru.,General
ወላጆቼ ሊቀጡኝ የሚፈልግ ነገር ያደረግሁ አይመስለኝም።,waan warri koo na adabuu akka barbaadan godhee waanan beeku natti hin fakkaatu.,General
ለማለት የፈለኩት ይህንኑ አይደለም።,ani sirriitti akkas jechuu barbaade miti.,General
ቶም እየተራበ ነበር።,toom beela'aa ture.,General
በረጅም ታሪኮቹ አሰልቺ አድርጎናል።,seenaa dheeraa isaatiin nu nuffisiise.,General
እሱዋ መምጣት ትእግስት አጥቼ ነበር።,dhufaatii isheetiif obsa dhabe.,General
በጣም የሚያስቅ ነገር አልገባኝም።,dhuguma waan akkas nama kofalchiisu naaf hin galle.,General
ጣቢያው ላይ እጠብቅሃለሁ።,buufatatti si eega.,General
ጊዜህን ውሰድ።,yeroo kee fudhadhu.,General
ጃኬትህን የት እንዳስቀመጥኩት ልነግርህ ረሳሁ።,jaakkeetii kee eessa akkan kaa'e sitti himuu dagadheera.,General
ቶም ማን እንደሆነ አታውቁም ብዬ አስባለሁ።,toom eenyu akka ta'e hin beektu jedheen yaada.,General
ዝናቡ ቆሙዋል።,roobni dhaabbateera.,General
እሱ በእውነት ጥሩ ነው።,dhuguma bifa gaarii qaba.,Religion
ለቀድሞ መኪናህ ምን ያህል ሰጡህ፧,konkolaataa kee isa durii kanaaf meeqa siif kennan?,General
የመጀመሪያዋን ሳመችው።,isheenis dhungannaa isaa isa jalqabaa itti kennite.,Government
ቤተሰቡ በእርግማን ስር ያለ ይመስላል።,maatiin sun abaarsa jala waan jiran fakkaata ture.,General
ይህ ሊሰራ ይገባል።,kun hojjechuu qaba.,General
እንደገና ማየታችን ጥሩ ነው።,ammas isin arguun nama gammachiisa.,Religion
በሽታው በፍጥነት እንዳይዛመት መከላከል ቀላል ስራ አልነበረም።,dhukkubni kun dafee akka hin babal'anne gochuun hojii salphaa hin turre.,Health/Medical
ይህን ችግር ከዚህ በፊት አጋጥሞናል።,rakkoon kun kanaan dura nu mudateera.,General
እነዚህ ሰዎች እነማን ናቸው፧,jarri kun eenyu?,General
ደክሞኛል እና መተኛት እፈልጋለሁ።,dadhabeen ciisuun barbaada.,General
ከትምህርት በኹዋላ የቅርጫት ኳስ እንጫወት።,barnoota booda kubbaa miilaa haa taphannu.,Education
በየአመቱ ወደዚያ እንሄዳለን።,waggaa waggaan achi deemna.,General
ስለዚህ ጉዳይ አስቀድመን ተናግረናል።,waa'ee kanaa kanaan dura dubbanneerra.,General
ሰላሳ ደቂቃህ አልቁዋል።,daqiiqaa soddoma kee dhumateera.,General
በፈረንሳይኛ መናገር እወዳለሁ።,afaan faransaayii dubbachuun natti tola.,General
ቶም በጣም የተሻለ ይገባዋል።,toom kana caalaa baay'ee argachuu qaba.,General
ይህን አረፍተ ነገር መተርጎም ትችላለህ፧,hima kana hiikuu dandeessaa?,General
እሱዋም እጁን ይዛ ወደ ጀልባው ወሰደችው።,harka isaa qabdee bidiruu irra harkifte.,General
ጓደኛዬ አጠገቤ ነው።,hiriyaan koo na cinaa jira.,General
ቶም ተጨናነቀ።,toom dhiphina keessa ture.,General
እንደዚያ መነጋገር አልለመድኩም።,akkasitti dubbatamuu hin baranne.,General
ቀዩን ጃኬቱን ለበሰ።,jaakkeetii diimaa sana uffate.,General
ቶም እዚያ ቀይ የሆነ ነገር አየ።,toom achitti waan diimaa arge.,General
ከአሁን በኹዋላ ብዙም አልወጣም።,kana booda baay'ee hin bahu.,General
ብዙም ሳይቆይ ሃይለኛ ዝናብ መዝነብ ጀመረ።,utuu baayʼee hin turin roobni baayʼee cimaan roobuu jalqabe.,Agriculture
ከውሃው በላይ የምታየው የበረዶ ግግር ጫፍ ብቻ ነው።,wanti bishaan gubbaatti argitan fiixee iceberg sanaa qofa.,General
ማንኪያ ሊኖረን ይችላል፧,spoon qabaachuu dandeenyaa?,General
የእኛ ክፍል ሀያ አምስት ወንዶች እና ሃያ ሴቶች ልጆች አሉት።,kutaan keenya ijoollee dhiiraa digdamii shan fi ijoollee durbaa digdamii qaba.,Education
አንድ ጊዜ አገኘሁት።,yeroo tokko isa waliin wal barre.,General
ይህን ለማለት ፈልጌ ነበር።,akkas jechuuf ture.,General
ጥፋቱን አምኗል።,badii isaa amanee fudhate.,General
ብትጠይቁኝ ይህ ሙሉ ጊዜ ማባከን ነው።,yoo na gaafattan kun guutummaatti yeroo qisaasuudha.,General
አንድ ቀን የጥጥ ከረሜላ ማሽን እገዛለሁ።,gaaf tokko maashinii suufii karameellaa nan bita.,Agriculture
በሆቴሉ ውስጥ ለብዙ ቀናት ቆየች።,guyyoota hedduu hoteelicha keessa turte.,General
ቶም ሊያምኑት የሚችሉት ሰው ነው።,toom nama amanachuu dandeessudha.,General
በሚቀጥለው ሳምንት መልሰው እስካገኙ ድረስ መጽሀፉን አበድረዎታለሁ።,"kitaabicha siif liqeessa, torban dhufu yoo deebifte.",General
ይህ ከዚያ ያነሰ ነው።,kun kana caalaa xiqqaadha.,General
መስኮቱን ይክፈቱ።,foddaa banaa.,General
ይህ ሁሉ እንዴት ተጀመረ፧,kun hundi akkamitti jalqabe?,General
ይህ በጣም የተለመደ ጉዳት ነው።,kun miidhaan baay'ee beekamaadha.,General
ልጄ ነች።,intala kooti.,General
ምንም ማለት አያስፈልግም።,homaa dubbachuun si hin barbaachisu.,General
እንደተጠበቀው የአየር ሁኔታው በጣም ጥሩ ሆነ።,akkuma eegametti ta'ee haalli qilleensaa baay'ee gaarii ta'ee argame.,Agriculture
ያንን ባታደርግ ይሻልሃል።,akkas gochuu dhiisuun siif wayya ture.,General
በርካታ እንስሳት ከመካነ አራዊት አምልጠዋል።,bineensonni hedduun mana bineensotaa keessaa miliqan.,Agriculture
ኑሮውን ለማሸነፍ ጠንክሮ ይሰራል።,jireenya isaa argachuuf cimee hojjeta.,General
ልጆች ወይን እንድጠጡ መፍቀድ ጥሩ ሃሳብ አይደለም ብየ አስባለሁ።,Ijoolleen wayinii akka dhugan hayyamuun yaada gaarii miti jedheen yaada.,General
የተሻለ ነገር አላገኘሁም።,waan kana caalu argachuu hin dandeenye.,General
ዛሬ ጠዋት ለምን በመጥፎ ስሜት ውስጥ እንዳለሁ አላውቅም።,ganama kana maaliif miira hamaa keessa akkan jiru hin beeku.,General
እጸልይላችኹዋለሁ።,siif kadhadha.,General
ቶም ስለዚህ ጉዳይ አይናገርም።,Toom waa'ee dhimma kanaa hin dubbatu.,General
ሆቴል ውስጥ ከመተኛትዎ በፊት የአደጋ ጊዜ መውጫው የት እንዳለ ያረጋግጡ።,hoteela tokkotti ciisuu kee dura bakki balaa tasaa bahu eessa akka jiru mirkaneessi.,Agriculture
ትናንት ወደዚህ ተዛውሬያለሁ።,kaleessa asitti jijjiirame.,General
ሁለታችንም ማድረግ እንችላለን።,lamaan keenyayyuu gochuu dandeenya.,General
የፈለከውን ማድረግ አልችልም።,waan ati barbaadde gochuu hin danda'u.,General
ቶም ፖሊስ እንደጠረጠረው ያውቃል።,toom poolisiin akka isa shakku beeka.,Government
ብዙውን ጊዜ ለስራ የሚሄዱት ስንት ሰአት ነው፧,yeroo baayyee sa'aatii meeqatti hojiif deemta?,General
ይቅርታ የመጠየቅ ጨዋነት ነበራት።,dhiifama gaafachuuf safuu qabdi turte.,Religion
ለምን ፒያሳ አንያዝም፧,maaliif piizaa hin ajajnu?,General
በቶም እንደዋሸህ እናውቃለን።,toomii akka sobde ni beekna.,Religion
ንቁ ይሁኑ።,Dammaqaa ta'aa.,General
ለድርጊት ጊዜው ደርሱዋል።,yeroon hojiif bilchaateera.,General
ምንም የሚያደርገው ነገር የለም።,waan godhu hin qabu.,General
ቶም በየቀኑ ጠዋት ከመታጠቢያው እንደወጣ ይላጫል።,toom ganama ganama akkuma shawaariin baheen ni haadda.,General
ጥሩ ቀን ነበር።,guyyaa gaarii ta'eera.,General
እንደ እናቴ ቀደም ብዬ አልነሳም።,akka haadha koo dafee hin ka'u.,Health/Medical
ለግድያው ቀን ምንም አሊቢ የሎትም።,guyyaa ajjeechaa sanaaf alibii hin qabdu.,General
እዚያ እንድሄድ አድርገውኛል።,achi akkan deemu na taasisan.,General
ቶም ከማርያም የልጅነት ጓደኞች አንዱ ነው።,toom hiriyyoota meerii ijoollummaa ishee keessaa tokkodha.,Religion
ይህ በቴክኒካዊነት የማይቻል ነው።,kun teeknikaan waan hin danda'amnedha.,General
ፈገግ ብላ ተሰነባብታለች።,isheenis kolfitee nagaa itti dhaamte.,General
እንደገና ማየታችን ጥሩ ነው።,ammas si arguun nama gammachiisa.,Religion
ዛሬ ቀዝቃዛ ንፋስ አለ።,har'a qilleensi qorraa jira.,General
ልጆቹ በደስታ ጮኹ።,ijoolleen gammachuudhaan iyyan.,General
ለጓደኞቼ አመሰግናለሁ።,hiriyyoota kootiif galata guddaa qaba.,General
አንድ ሰው ቶምን እየተመለከተ ነው።,namni tokko toom ilaalaa jira.,General
ቶም የተንቆጠቆጡ አይኖች አሉት።,toom ija qaxxaamuraa qaba.,General
በቅርቡ ስለዚህ ጉዳይ እንነጋገራለን።,waa'ee sanaa yeroo dhiyootti ni dubbanna.,General
ነጥቡም ያ ነው።,dubbiin jiru sirriitti kanuma.,General
ቦስተን እንዴት ነበር፧,booston akkam ture?,General
አጎቴ የት እንደሚኖር ጠየቀኝ።,innis adeerri koo eessa akka jiraatu na gaafate.,General
ያ ጥሩ ነገር አይደለም።,sun waan gaarii miti.,General
በመርከቡ ተሳፍሬ ተኛሁ።,doonii sana keessa rafe.,General
ረቂቅ ቢራ በተለይ በሞቃት ቀን ጥሩ ጣእም ይኖረዋል።,keessattuu guyyaa ho'aa biiraan wixinee mi'aawaa dha.,General
አባቱዋ ጋራዡን እንዲያጸዳ እንዲረዳው ጠየቀችው ነገር ግን እሱ ለመርዳት በጣም ስራ እንደበዛበት ተናገረ።,"abbaanshee garaajee qulqulleessuuf akka isa gargaaru isa gaafatte, inni garuu hojiin isaa baayʼee waan qabuuf gargaaruu akka hin dandeenye dubbateera.",Religion
ያ ህጻን ለምን ታለቅሳለች፧,daa'imni sun maaliif boo'a?,General
እነዚህ ሰዎች እነማን እንደሆኑ አላውቅም።,namoonni kun eenyu akka ta'an hin beeku.,General
ከመጠን በላይ ላለመደሰት እየሞከርኩ ነው።,garmalee akkan hin gloat goone yaalaa jira.,General
ያ በጣም ጥሩ አልነበረም።,sun baay'ee namatti tola hin turre.,General
ይህ ከገጠር ወደ ከተማ የሚደረግ እንቅስቃሴ ከሁለት መቶ አመታት በላይ ቆይቱዋል።,baadiyyaa irraa gara magaalaatti sochiin kun waggoota dhibba lamaa oliif deemaa tureera.,General
ይህን ስላደረጉ በጣም እናመሰግናለን።,kana gochuu keessaniif baay'ee galatoomaa.,General
በጥያቄዎቹ ግራ ተጋባሁ።,gaaffiin isaa baay'een burjaaja'e.,Education
ትክክለኛ ቪዛ ስለነበረኝ ወደ ሀገር እንድገባ ተፈቅዶልኛል።,viizaa seera qabeessa waanan qabuuf biyya akkan seenu naaf hayyamame.,Government
ቶም ሳንቲሞቹን በሳጥኑ ውስጥ አስቀመጠ።,toom saantima sana saanduqa sana keessa galche.,General
አንድ ጊዜ ሳይሆን ሁለት ጊዜ ሄጄ ነበር።,yeroo tokko osoo hin taane yeroo lama deeme.,General
በተገቢው ጊዜ ተገቢውን እርምጃ መውሰድ አለብዎት።,yeroo barbaachisaa ta'etti tarkaanfii barbaachisaa ta'e fudhachuu qabda.,Business/Economy
አታምነኝም፧,na hin amantuu?,General
